"RegionName","City","State","Metro","CountyName","SizeRank","2010-10","2010-11","2010-12","2011-01","2011-02","2011-03","2011-04","2011-05","2011-06","2011-07","2011-08","2011-09","2011-10","2011-11","2011-12","2012-01","2012-02","2012-03","2012-04","2012-05","2012-06","2012-07","2012-08","2012-09","2012-10","2012-11","2012-12","2013-01","2013-02","2013-03","2013-04","2013-05","2013-06","2013-07","2013-08","2013-09","2013-10","2013-11","2013-12","2014-01","2014-02","2014-03","2014-04","2014-05","2014-06","2014-07","2014-08","2014-09","2014-10","2014-11","2014-12","2015-01","2015-02","2015-03","2015-04","2015-05","2015-06","2015-07","2015-08","2015-09","2015-10","2015-11","2015-12","2016-01","2016-02","2016-03","2016-04","2016-05","2016-06","2016-07","2016-08","2016-09","2016-10","2016-11","2016-12","2017-01","2017-02","2017-03","2017-04","2017-05","2017-06","2017-07","2017-08","2017-09","2017-10","2017-11"
"90019","Los Angeles","CA","Los Angeles-Long Beach-Anaheim","Los Angeles",64,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,2400,2300,2550,2550,2750,2525,2300,2075,2295,2499,2500,2445,2395
"98103","Seattle","WA","Seattle","King",65,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,1375,1495,1500,1500,1495,1695,1495,1672.5,1545,1495,1695,1550,1537.5,1625,1537.5,1495,1625,1495,1495,1572.5,1595,1649,1650,1650,1625,1550
"11238","New York","NY","New York","Kings",66,,,,,,,,,,,,,2150,2000,2000,2150,2150,2095,2050,2061,2172.5,2300,2387.5,2450,2500,2126,2100,2325,2300,2443.5,2300,2500,2550,2600,2850,2695,2600,2500,2500,2500,2500,2400,2500,2600,2700,2700,2650,2650,2700,2650,2600,2650,2720,2700,2745,2895,2800,2700,2800,2795,2800,2700,2700,2750,2700,2677,2700,2700,2750,2700,2700,2750,2750,2795,2700,2700,2700,2671,2700,2753,2850,2850,2887,2900,2900,2750
"11233","New York","NY","New York","Kings",67,,,,,,,,,,1500,1500,1500,1500,1450,1475,1550,1575,1650,1625,1650,1575,1550,1572.5,1600,1600,1600,1550,1550,1600,1650,1675,1700,1799,1825,1850,1900,1800,1850,1800,1800,1750,1750,1799,1900,1950,1900,1900,1900,1850,1950,1950,1995,1995,1980,2000,2200,2200,2200,2200,2195,2150,2099.5,2099,2100,2100,2150,2100,2100,2100,2200,2200,2200,2299,2250,2125,2200,2200,2199,2200,2250,2300,2300,2325,2250,2200,2200
"07302","Jersey City","NJ","New York","Hudson",68,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,2500,2760,2685,2500,2475,2435,2400,2495,2450,2425,2450,2425,2550,2400,2550,2700,2500,2425,2225,2450,2500,2500,2662.5,2730,2850,2550,2500,2500,2542.5
"11236","New York","NY","New York","Kings",69,,,,,,,,,,,,,,,,,,,,,1900,1947.5,1775,1775,1700,1700,1600,1697.5,1600,1725,1725,1700,1700,1695,1695,1600,1600,1612.5,1695,1700,1612.5,1650,1637.5,1795,1795,1600,1600,1700,1725,1700,1725,1725,1725,1725,1725,1800,1800,1825,1800,1850,1850,1812.5,1800,1800,1800,1800,1750,1800,1800,1710,1800,1750,1800,1850,1800,1800,1800,1800,1925,1995,1987.5,2000,2000,1950,1900,1900
"92109","San Diego","CA","San Diego","San Diego",70,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,1822.5,1675,1800,1625,1585,1575,1595,1495,1495,1550,1520,1525,1595,1595,1595,1725,1750,1600,1650,1785,1895,2137.5,1945,1842.5,1872.5,1750,1795,1650,1775,1750,1850,1795,1895,1847.5,1820,1962.5,1975,1900,1945,1850,1995,1850
"10457","New York","NY","New York","Bronx",71,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,1475,1400,1498,1575,1625,1625,1625,1612.5,1625,1599.5,1650,1637.5,1600
"60626","Chicago","IL","Chicago","Cook",72,,,,,,,,,,,,,,,,,995,950,937.5,955,1037.5,1015,1000,875,995,1000,1050,975,1012.5,1072.5,984,1095,1075,1150,1062.5,975,995,995,1050,1025,1050,1050,1050,975,975,975,975,995,1000,1000,990,950,975,950,985,1000,997.5,1000,1000,992.5,975,950,950,950,970,1050,1050,972.5,1000,1050,1150,1100,1075,1100,1195,1150,1100,1050,1025,1150,1150,1150,1050,1050,1195,1150
"10027","New York","NY","New York","New York",73,,,,,,,,,,,,,,,,,,,,,,2500,2325,2295,2515,2500,2395,2299.5,2325,2297,2250,2300,2350,2495,2450,2450,2450,2400,2395,2400,2400,2400,2400,2450,2450,2600,2650,2550,2600,2595,2600,2600,2495,2500,2585,2600,2600,2612,2695,2672.5,2572.5,2542.5,2566,2500,2550,2525,2595,2697.5,2550,2690,2725,2700,2600,2662.5,2500,2700,2650,2650,2750,2868.5,2800,2795,2897,2700,2682,2700
