"RegionName","City","State","Metro","CountyName","SizeRank","2011-02","2011-03","2011-04","2011-05","2011-06","2011-07","2011-08","2011-09","2011-10","2011-11","2011-12","2012-01","2012-02","2012-03","2012-04","2012-05","2012-06","2012-07","2012-08","2012-09","2012-10","2012-11","2012-12","2013-01","2013-02","2013-03","2013-04","2013-05","2013-06","2013-07","2013-08","2013-09","2013-10","2013-11","2013-12","2014-01","2014-02","2014-03","2014-04","2014-05","2014-06","2014-07","2014-08","2014-09","2014-10","2014-11","2014-12","2015-01","2015-02","2015-03","2015-04","2015-05","2015-06","2015-07","2015-08","2015-09","2015-10","2015-11","2015-12","2016-01","2016-02","2016-03","2016-04","2016-05","2016-06","2016-07","2016-08","2016-09","2016-10","2016-11","2016-12","2017-01","2017-02","2017-03","2017-04","2017-05","2017-06","2017-07","2017-08","2017-09","2017-10","2017-11"
"07030","Hoboken","NJ","New York","Hudson",13,,,,,,,,,,,,,,,,,,,,,,,,2.9,2.79166666666667,2.75,2.76134122287968,2.85256088165344,2.88564356435644,2.9,3,2.91229133010232,2.9,2.90322580645161,2.88562091503268,2.875,2.83333333333333,2.83136319876019,2.82957028404953,2.82575757575758,2.88567493112948,2.99717247879359,3.01969361216172,3.01034807149577,3.01296111665005,3,2.87637698898409,2.85008976660682,2.93333333333333,2.860810298505,2.80612244897959,2.8125,2.77415009940358,3.00870942201108,2.8695652173913,2.8030612244898,2.8030612244898,2.85565939771547,2.90277777777778,2.84032969885774,3.13176406926407,3.01772060823871,2.9792899408284,2.92854597291518,2.90705913226032,2.83089092334753,3,2.85,2.8,2.9,2.8,2.85565939771547,3,3.20833333333333,3.18595578673602,3.125,3.125,3.08056872037915,3.12195419103314,3.10642404190791,3.05772058823529,3
"33160","Sunny Isles Beach","FL","Miami-Fort Lauderdale","Miami-Dade",14,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,1.90140845070423,1.95833333333333,2,1.97706989772653,2.06538461538462,1.95822788046118,1.96078431372549,2,1.97132616487455,1.94444444444444,1.92990514972439,2.12086658287455,1.88978240302744,1.96022727272727,1.97988686360779,1.95822788046118,2.07416719044626,2.06587042177845,1.94846008799497,1.94846008799497,2.16097530241935,2.46350364963504,2.35407670791785,2.25314398057036,2.21531288391632,2.29885057471264,2.23384900840984,2.26190476190476,2.24054368215198,2.30648944487881
"78704","Austin","TX","Austin","Travis",15,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,1.70311692339502,1.69991667956692,1.67560321715818,1.65684830633284,1.6,1.575,1.57133687878232,1.58720930232558,1.58527131782946,1.52208931419458,1.395,1.41807348560079,1.42481203007519,1.39232288828338,1.4484962406015,1.60045317220544,1.47813698724816,1.54324065196548,1.54774436090226,1.5620613324695,1.75365113865139,1.58794162826421,1.59090909090909,1.57074036743483,1.51356132075472,1.43633276740238,1.42105263157895,1.47272256132673,1.45921052631579,1.5952380952381,1.5952380952381,1.49736842105263,1.45536437246964,1.46842105263158,1.58270385275102,1.45,1.52173913043478,1.50569490131579,1.56428571428571,1.48769652364164,1.43888888888889,1.49539877300613,1.52223731115261,1.60869565217391,1.69230769230769,1.73863636363636,1.62704309063893,1.58522727272727,1.57246543778802,1.5952380952381,1.61042944785276,1.5625
"10019","New York","NY","New York","New York",16,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,5.39614243323442,5.38669064748201,5.34859130282614,5.3046875,5.368,5.33591913493183,5.34184138559708,5.43243243243243,5.43856425913624,5.40335157318741,5.40082079343365,5.41517705141301,5.40082079343365,5.35146443514644,5.3446455505279,5.31696428571429,5.26349614395887,5.31350806451613,5.28428571428571,5.32438565927013,5.45494476241182,5.46546546546547,5.35930009295831,5.40082079343365,5.32071428571429,5.30873493975904,5.27613439451944,5.32374100719424,5.2415210688592,5.16924564796905,5.32734274711168,5.28846153846154,5.3125,5.2772832006703,5.40041039671683,5.44444444444444,5.44545454545455,5.38462075848303,5.32438565927013,5.35367445441911,5.21235521235521
"33139","Miami Beach","FL","Miami-Fort Lauderdale","Miami-Dade",17,,,,,,,,,,,,,,,,,,,,,,2.16375824643541,2.17846455051663,2.14285714285714,2.3780487804878,2.49186871673566,2.5,2.6,2.45454545454545,2.85714285714286,2.87059644227415,2.71142238043647,2.63060428849903,2.6541095890411,2.65486725663717,2.63812576312576,2.65570687310037,2.63888888888889,2.66312056737589,2.73573923166473,2.65957446808511,2.73634558093347,2.75162925416365,2.74862637362637,2.70215780296425,2.73654916512059,2.80056022408964,2.78688524590164,2.75229357798165,2.82752120640905,2.77777777777778,2.66666666666667,2.69230769230769,2.76037955427396,2.77777777777778,2.76722408026756,2.83421514865907,2.80112044817927,2.79314572304263,2.9,2.85714285714286,2.85846072746442,2.80528052805281,2.79344262295082,2.9792899408284,2.93814432989691,2.82701596382831,2.82701596382831,3.08219178082192,3.02129052218387,2.86474164133739,2.85,2.87492381839498,2.93281388642413,2.93255131964809,3,2.92037456603579,2.94774511681348,2.91545189504373,2.99925037481259,3.03539619815904,3.03941251056636
"11377","New York","NY","New York","Queens",18,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,2.37254901960784,2.35357142857143,2.47579767947788,2.4,2.32142857142857,2.35357142857143,2.25641025641026,2.5,2.53478260869565,2.48062015503876,2.5,2.5,2.5,2.42142857142857,2.45714285714286,2.40519159456119,2.4065138721351,2.53846153846154
"60610","Chicago","IL","Chicago","Cook",19,,1.99952380952381,2.0231593038822,2.04022988505747,2.06882239382239,2.11494252873563,2.10833333333333,2.12987012987013,2.11622474747475,2.07647058823529,2.07647058823529,2.10238095238095,2.11764705882353,2.12844036697248,2.09861111111111,2.3,2.30588235294118,2.31365546218487,2.39166666666667,2.35909090909091,2.33943427620632,2.33943427620632,2.31331168831169,2.41098169717138,2.40304487179487,2.3375742809603,2.39375,2.38068965517241,2.41379310344828,2.34666666666667,2.31136111111111,2.28380952380952,2.21857142857143,2.19108280254777,2.2757881773399,2.2757881773399,2.29809523809524,2.30125523012552,2.3125,2.32468619246862,2.35013623978202,2.43506493506493,2.32739565261761,2.32855732878316,2.33875338753388,2.3543956043956,2.3546511627907,2.26993006993007,2.44435146443515,2.26527777777778,2.30875896057348,2.36488340192044,2.36277173913043,2.37671232876712,2.32773938795656,2.30867977377832,2.29339862304327,2.3255230125523,2.28169014084507,2.28451849143693,2.46788194444444,2.36146825396825,2.27586206896552,2.39,2.39142857142857,2.50418994413408,2.32526150627615,2.27364532019704,2.34190476190476,2.25285714285714,2.27586206896552,2.3489932885906,2.57142857142857,2.54545454545455,2.675,2.42261904761905,2.35,2.47619047619048,2.47857142857143,2.38909523809524,2.42609126984127,2.42361111111111
"33025","Miramar","FL","Miami-Fort Lauderdale","Broward",20,,,,,,,,,,,,1.23496406626295,1.22511485451761,1.20852401566687,1.22511485451761,1.22511485451761,1.19175107947728,1.22235157159488,1.2,1.20296846011132,1.158459142104,1.1759170347609,1.20814375226491,1.18110236220472,1.21875,1.25588697017268,1.21581736968172,1.23961576342529,1.18922830485611,1.22727272727273,1.22727272727273,1.22366853836992,1.23281425364759,1.23031496062992,1.22895622895623,1.25477440046651,1.26262626262626,1.2636899747262,1.26289207868155,1.24770833333333,1.21822033898305,1.23031496062992,1.26156433978133,1.27811860940695,1.27952755905512,1.31699921752739,1.31972222222222,1.28893662728249,1.29068462401796,1.30427885891166,1.31199739603278,1.325,1.27952755905512,1.27621493855931,1.27952755905512,1.26583089781059,1.28504672897196,1.37895666871543,1.35864093959732,1.34228187919463,1.375,1.39751552795031,1.35514705882353,1.38888888888889,1.36468855218855,1.38888888888889,1.33996937212864,1.31904369332234,1.35149149310285,1.39138689048761,1.35004821600771,1.40243902439024,1.41193468068983,1.3986013986014,1.38488137766786,1.43306379155436,1.45416666666667,1.46518049568966,1.40901148734549,1.31578947368421,1.39953051643192,1.3986013986014
"11355","New York","NY","New York","Queens",21,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,2.17534702305839,2.2216796875,2.03422930249723,1.86507936507937,1.95257442138098,1.98275862068966,2.21759259259259,2.25631768953069,2.325,2.3014440433213,2.13986440883618,2.225,2.16947286160841,2.27272727272727,2.34069981583794,2.16503267973856,2.06502636203866,2.06512187667151,2.11976682564918,2.03955500618047,2.14460784313725,2.16451742897441,1.96319018404908,2.06540447504303,2.27777777777778,2.14945652173913,2.35714285714286,2.42307692307692,2.375,2.41038732394366,2.4,2.5,2.5,2.5,2.42481203007519
"11215","New York","NY","New York","Kings",22,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,3.18181818181818,3.15263157894737,3.13636363636364,3.15940713853599,3.15717422630893,3.14285714285714,3.09838709677419,3.26794871794872,3.28282828282828,3.24915824915825,3.19444444444444,3.1875,3.22777101096224,3.27272727272727,3.18181818181818,3.29411764705882,3.23076923076923,3.17289420305327,3.0734126984127,3.21825396825397,3.25938215102975,3.32588235294118,3.33333333333333,3.375,3.375,3.33333333333333,3.3125,3.33266666666667,3.3,3.22902097902098
